COG0355	3.6.3.14
COG0356	3.6.3.14
COG0357	2.1.1.170
COG0358	2.7.7.-
COG0362	1.1.1.44
COG0363	3.5.99.6
COG0364	1.1.1.49
COG0365	6.2.1.1
COG0367	6.3.5.4
COG0368	2.7.8.26
COG0372	2.3.3.1
COG0373	1.2.1.70
COG0374	1.12.99.6
COG0376	1.11.1.21
COG0377	1.6.5.3
COG0379	2.5.1.72
COG0380	2.4.1.15
COG0381	5.1.3.14
COG0382	2.5.1.-
COG0383	3.2.1.24
COG0385	2.7.8.23
COG0386	1.11.1.9
COG0389	2.7.7.7
COG0391	2.7.8.28
COG0392	2.3.2.3
COG0394	3.1.3.48
COG0398	1.16.1.1
COG0400	3.1.1.5
COG0403	1.4.4.2
COG0404	2.1.2.10
COG0405	2.3.2.2
COG0406	5.4.2.1
COG0407	4.1.1.37
COG0408	1.3.3.3
COG0410	3.6.3.30
COG0411	3.6.3.25
COG0412	3.1.1.45
COG0413	2.1.2.11
COG0414	6.3.2.1
COG0415	4.1.99.3
COG0416	2.3.1.15
COG0417	2.7.7.7
COG0418	3.5.2.3
COG0419	3.6.-.-
COG0420	3.1.-.-
COG0421	2.5.1.16
COG0423	6.1.1.14
COG0425	2.8.1.-
COG0426	1.-.-.-
COG0427	3.1.2.1
COG0428	2.7.7.7
COG0429	3.1.1.-
COG0430	6.5.1.4
COG0431	1.5.1.38
COG0432	3.1.-.-
COG0435	2.5.1.18
COG0437	1.2.7.-
COG0440	2.2.1.6
COG0441	6.1.1.3
COG0442	6.1.1.15
COG0443	2.7.7.6
COG0443	6.1.1.16
COG0444	3.6.3.24
COG0447	4.1.3.36
COG0448	2.7.7.27
COG0449	2.6.1.16
COG0450	1.11.1.15
COG0452	4.1.1.36
COG0454	2.3.1.-
COG0456	2.3.1.128
COG0458	6.3.5.5
COG0459	2.7.1.150
COG0460	1.1.1.3
COG0461	2.4.2.10
COG0462	2.7.6.1
COG0464	3.6.4.6
COG0465	3.4.24.-
COG0466	3.4.21.53
COG0467	2.7.11.1
COG0469	2.7.1.40
COG0470	2.7.7.7
COG0472	2.7.8.13
COG0476	6.3.2.19
COG0478	2.7.11.1
COG0479	1.3.99.1
COG0480	3.6.5.-
COG0482	2.8.1.-
COG0483	3.1.3.25
COG0484	5.3.4.1
COG0486	3.6.-.-
COG0488	3.6.3.25
COG0489	2.7.10.-
COG0491	3.1.2.6
COG0492	1.8.1.9
COG0494	3.6.1.-
COG0495	6.1.1.4
COG0496	3.1.3.5
COG0498	4.2.3.1
COG0499	3.3.1.1
COG0501	3.4.24.-
COG0502	2.8.1.6
COG0503	2.4.2.7
COG0504	6.3.4.2
COG0505	6.3.5.5
COG0506	1.5.99.8
COG0507	3.1.11.5
COG0509	1.20.4.1
COG0510	2.7.1.82
COG0512	4.1.3.27
COG0513	3.6.4.13
COG0514	3.6.4.12
COG0516	1.1.1.205
COG0517	1.1.1.205
COG0518	6.3.5.2
COG0519	6.3.5.2
COG0521	2.7.7.75
COG0525	6.1.1.9
COG0526	5.3.4.1
COG0527	2.7.2.4
COG0528	2.7.4.22
COG0529	2.7.1.25
COG0532	3.1.4.17
COG0533	3.4.24.57
COG0535	3.1.21.-
COG0537	3.6.1.29
COG0538	1.1.1.42
COG0539	1.17.1.2
COG0540	2.1.3.2
COG0545	5.2.1.8
COG0546	3.1.3.18
COG0547	2.4.2.18
COG0548	2.7.2.8
COG0549	2.7.2.2
COG0550	5.99.1.2
COG0551	5.99.1.2
COG0552	2.7.11.1
COG0553	3.6.4.-
COG0554	2.7.1.30
COG0555	3.6.3.-
COG0555	3.6.3.29
COG0557	3.1.-.-
COG0558	2.7.8.5
COG0560	3.1.3.3
COG0562	5.4.99.9
COG0563	2.7.4.3
COG0565	2.1.1.-
COG0566	2.1.1.185
COG0567	1.2.4.2
COG0571	3.1.26.3
COG0572	2.7.1.48
COG0574	2.7.9.2
COG0575	2.7.7.41
COG0577	3.6.3.-
COG0578	1.1.5.3
COG0579	1.1.5.4
COG0580	1.20.4.1
COG0583	3.6.3.28
COG0584	3.1.4.46
COG0585	5.4.99.27
COG0586	3.1.3.1
COG0587	2.7.7.7
COG0588	5.4.2.1
COG0589	2.7.11.-
COG0589	2.7.11.1
COG0590	3.5.4.33
COG0591	2.7.3.-
COG0592	2.7.7.7
COG0594	3.1.26.5
COG0595	3.1.-.-
